clean_name,season,position,games,fantasy_points_ppr,targets,carries,receiving_yards,rushing_yards,receptions,receiving_tds,rushing_tds,passing_yards,passing_tds,interceptions,recent_team,player_name,player_key,avg_fantasy_points_3yr,avg_targets_3yr,avg_carries_3yr,performance_trend_pct,consistency_score,seasons_played,total_games,avg_opportunity,total_touches,yards_per_touch,passing_efficiency,catch_rate,yards_per_target,points_per_game,opportunity_share
ANTHONY SCHWARTZ,2022,WR,6,18.8,10,4,51.0,57.0,4,0,1,0.0,0,0.0,CLE,Anthony Schwartz,ANTHONY SCHWARTZ_WR,18.799999237060547,10.0,4.0,0.0,0.0,1,6,14.0,0.0,0.0,0.0,0.4,5.1,3.133333206176758,14
ANTOINE GREEN,2023,WR,2,1.2,2,0,2.0,0.0,1,0,0,0.0,0,0.0,DET,Antoine Green,ANTOINE GREEN_WR,1.2000000476837158,2.0,0.0,0.0,0.0,1,2,2.0,0.0,0.0,0.0,0.5,1.0,0.6000000238418579,2
ANTONIO GIBSON,2024,RB,17,103.4,29,120,206.0,538.0,23,0,1,0.0,0,0.0,NE,Antonio Gibson,ANTONIO GIBSON_RB,132.2333221435547,48.666666666666664,111.33333333333333,-18.83830451965332,4.194011211395264,3,48,160.0,149.0,4.993288516998291,0.0,0.0,0.0,6.082353030934053,149
ARMANI ROGERS,2022,TE,5,14.0,6,2,64.0,26.0,5,0,0,0.0,0,0.0,WAS,Armani Rogers,ARMANI ROGERS_TE,14.0,6.0,2.0,0.0,0.0,1,5,8.0,0.0,0.0,0.0,0.8333333333333334,10.666666666666666,2.8,8
ASHTON DULIN,2024,WR,9,19.199999,8,5,67.0,45.0,2,1,0,0.0,0,0.0,IND,Ashton Dulin,ASHTON DULIN_WR,30.849998474121094,15.0,3.5,-54.82352828979492,1.872467041015625,2,16,18.5,0.0,0.0,0.0,0.25,8.375,2.133333206176758,13
AT PERRY,2023,WR,8,60.6,18,0,246.0,0.0,12,4,0,0.0,0,0.0,NO,A.T. Perry,AT PERRY_WR,60.599998474121094,18.0,0.0,0.0,0.0,1,8,18.0,0.0,0.0,0.0,0.6666666666666666,13.666666666666666,7.574999809265137,18
AUDRIC ESTIME,2024,RB,13,48.7,5,76,27.0,310.0,5,0,2,0.0,0,0.0,DEN,Audric Estime,AUDRIC ESTIME_RB,48.70000076293945,5.0,76.0,0.0,0.0,1,13,81.0,81.0,4.160493850708008,0.0,0.0,0.0,3.7461539048414965,81
AUSTIN EKELER,2024,RB,15,159.6,56,99,450.0,456.0,47,0,4,0.0,0,0.0,WAS,Austin Ekeler,AUSTIN EKELER_RB,245.3333282470703,87.0,165.0,-13.915851593017578,1.934669852256775,3,47,252.0,155.0,5.845161437988281,0.0,0.0,0.0,10.640000406901041,155
AUSTIN HOOPER,2024,WR,17,108.6,59,0,476.0,0.0,45,3,0,0.0,0,0.0,NE,Austin Hooper,AUSTIN HOOPER_WR,103.0,59.5,0.0,11.498970031738281,13.005717277526855,2,34,59.5,0.0,0.0,0.0,0.7627118644067796,8.067796610169491,6.388235204360065,59
AUSTIN HOOPER,2023,TE,16,48.4,31,0,234.0,0.0,25,0,0,0.0,0,0.0,LV,Austin Hooper,AUSTIN HOOPER_TE,48.400001525878906,31.0,0.0,0.0,0.0,1,16,31.0,0.0,0.0,0.0,0.8064516129032258,7.548387096774194,3.0250000953674316,31
AUSTIN TRAMMELL,2024,WR,1,6.0,3,0,40.0,0.0,2,0,0,0.0,0,0.0,JAX,Austin Trammell,AUSTIN TRAMMELL_WR,5.400000095367432,4.666666666666667,0.0,-13.043479919433594,2.8823065757751465,3,5,4.666666666666667,0.0,0.0,0.0,0.6666666666666666,13.333333333333334,6.0,3
