player_id,name,position,recent_team,fantasy_points,fantasy_points_2024,passing_yards,passing_tds,rushing_yards,rushing_tds,receiving_yards,receiving_tds,receptions,targets,week,games_played,avg_fantasy_points,avg_points,projected_fantasy_points,projected_points,avg_ppr_all_years,std_ppr_all_years,total_games,seasons_played,consistency_score,team,age,years_exp,draft_number,injury_status,adp
00-0036646,S.Fehoko,WR,LAC,10.6,16.6,0.0,0,0.0,0,106.0,0,6,16,5,5,2.1200000762939455,3.3200000762939452,36.040001296997076,56.44000129699707,3.7375002,3.167665905113604,8,3,0.2399424576650996,LAC,26.0,3,179.0,Healthy,999
00-0035631,D.Sample,TE,CIN,16.5,36.5,0.0,0,-4.0,0,109.0,1,20,22,11,11,1.5,3.3181818181818183,25.5,56.409090909090914,3.2814815,3.1985618204035657,27,3,0.23817679547800016,CIN,28.0,5,52.0,Healthy,999
00-0039573,B.Watson,RB,DEN,2.3,3.3,0.0,0,10.0,0,13.0,0,1,2,1,1,2.299999952316284,3.299999952316284,39.09999918937683,56.09999918937683,3.3,,1,1,1.0,DEN,24.0,0,,Healthy,999
00-0039816,A.Gould,WR,IND,2.3,3.3,0.0,0,0.0,0,23.0,0,1,1,1,1,2.299999952316284,3.299999952316284,39.09999918937683,56.09999918937683,3.3,,1,1,1.0,IND,23.0,0,142.0,Healthy,999
00-0030431,R.Woods,WR,HOU,20.5,42.5,0.0,0,0.0,0,225.0,0,22,34,13,13,1.5769230769230769,3.269230769230769,26.807692307692307,55.57692307692307,5.6266665,3.8640769100585466,45,3,0.20558885447145683,HOU,32.0,11,41.0,Healthy,999
00-0033925,D.Foreman,RB,CLE,26.599998,32.6,0.0,0,232.0,0,54.0,0,6,8,10,10,2.6599998474121094,3.2599998474121095,45.21999740600586,55.41999740600586,7.28,8.514306263924917,35,3,0.10510487809202308,CLE,28.0,7,89.0,Healthy,999
00-0031763,D.Carter,WR,CHI,7.2,16.199999,0.0,0,0.0,0,72.0,0,9,14,5,5,1.4399999618530273,3.239999771118164,24.479999351501462,55.07999610900879,4.7966666,4.984561083424191,30,3,0.16709663182647794,CHI,31.0,9,,Healthy,999
00-0037539,L.Krull,TE,DEN,15.4,35.4,0.0,0,0.0,0,154.0,0,20,24,11,11,1.3999999653209338,3.2181819568980825,23.799999410455875,54.709093267267406,3.2722223,3.166145494801989,18,2,0.2400300232547516,DEN,26.0,2,,Healthy,999
00-0036422,A.Trautman,TE,DEN,31.0,45.0,0.0,0,0.0,0,190.0,2,14,23,14,14,2.2142857142857144,3.2142857142857144,37.642857142857146,54.642857142857146,3.5738096,4.039926309393642,42,3,0.1984155994773485,DEN,27.0,4,105.0,Healthy,999
00-0038098,P.Strong,RB,CLE,21.2,35.2,0.0,0,108.0,0,104.0,0,14,22,11,11,1.9272727966308594,3.2000000693581323,32.76363754272461,54.40000117908825,3.7571428,3.7629213012913696,28,3,0.20995518018088402,CLE,25.0,2,127.0,Healthy,999
00-0036534,S.Zylstra,TE,DET,2.2,3.2,0.0,0,0.0,0,22.0,0,1,1,1,1,2.200000047683716,3.200000047683716,37.40000081062317,54.40000081062317,4.9111114,8.06372203318008,9,2,0.11032995013960528,DET,27.0,3,,Healthy,999
00-0037304,C.Heyward,TE,PIT,10.0,16.0,0.0,0,0.0,0,40.0,1,6,8,5,5,2.0,3.2,34.0,54.400000000000006,3.72,2.784630477307744,25,3,0.2642265885654881,PIT,25.0,2,208.0,Healthy,999
00-0038636,K.McIntosh,RB,SEA,19.4,22.4,0.0,0,172.0,0,22.0,0,3,4,7,7,2.7714285169328963,3.1999999455043246,47.11428478785923,54.39999907357352,3.2,2.3530122609211523,7,1,0.29823929117553427,SEA,24.0,1,237.0,Healthy,999
00-0035806,J.Hasty,RB,NE,18.8,28.8,0.0,0,69.0,0,59.0,1,10,12,9,9,2.0888888041178384,3.1999999152289496,35.51110967000325,54.39999855889214,4.164,5.783444779031743,25,3,0.14741772544402407,NE,27.0,4,,Healthy,999
00-0037012,T.Lance,QB,DAL,12.74,12.74,266.0,0,41.0,0,0.0,0,0,0,4,4,3.184999942779541,3.184999942779541,54.1449990272522,54.1449990272522,4.2000003,5.5277915080401545,6,2,0.15319116714562947,DAL,24.0,3,3.0,Healthy,999
00-0037557,R.Rivers,RB,LA,14.1,19.1,0.0,0,107.0,0,34.0,0,5,6,6,6,2.3500000635782876,3.183333396911621,39.95000108083089,54.11666774749756,3.5375,3.446906774456344,16,3,0.22487541356705296,LA,25.0,2,,Healthy,999
00-0039890,A.Mitchell,WR,IND,30.76,53.76,24.0,0,6.0,0,312.0,0,23,55,17,17,1.8094117781695198,3.1623528424431298,30.760000228881836,53.7599983215332,3.1623528,3.7354510335968696,17,1,0.21117312646783676,IND,21.0,0,52.0,Healthy,999
00-0034353,A.Miller,WR,BAL,4.4,9.4,0.0,0,0.0,0,44.0,0,5,5,3,3,1.4666666984558105,3.133333206176758,24.93333387374878,53.26666450500488,3.1333332,0.9237603756429889,3,1,0.5198152600818408,BAL,29.0,6,51.0,Healthy,999
00-0036345,K.Osborn,WR,NE,11.700001,18.7,0.0,0,0.0,0,57.0,1,7,18,6,6,1.9500001271565754,3.116666793823242,33.15000216166178,52.98333549499512,7.8025637,6.922369847829239,39,3,0.12622485685567988,WAS,27.0,4,176.0,Healthy,999
00-0039650,B.Oliver,WR,TEN,9.5,15.5,0.0,0,0.0,0,95.0,0,6,9,5,5,1.9,3.1,32.3,52.7,3.1,1.137980792332686,5,1,0.46773104958951967,TEN,24.0,0,,Healthy,999
00-0034777,D.Chark,WR,LAC,10.1,15.1,0.0,0,0.0,0,41.0,1,5,14,5,5,2.0200000762939454,3.0200000762939454,34.34000129699707,51.34000129699707,7.6266665,6.745672012903674,30,3,0.12910435638561502,LAC,27.0,6,61.0,Healthy,999
00-0036425,D.Dallas,RB,ARI,18.0,21.0,0.0,0,49.0,0,11.0,1,3,3,7,7,2.5714285714285716,3.0,43.714285714285715,51.0,2.7827585,3.234641622576568,29,3,0.23614749230929014,ARI,25.0,4,144.0,Healthy,999
00-0031484,C.Manhertz,TE,NYG,9.0,12.0,0.0,0,0.0,0,30.0,1,3,4,4,4,2.25,3.0,38.25,51.0,1.8428571,1.9417336294447707,14,3,0.33993560463485684,NYG,32.0,9,,Healthy,999
