name,position,fantasy_points_target,weighted_historical_avg,consistency_score,performance_trend,seasons_played,total_career_points,games_played,targets,carries
BRASHARD SMITH,RB,0.0,0.0,0.5,0.0,1,0.0,,0.0,
BRU MCCOY,WR,0.0,0.0,0.5,0.0,1,0.0,,0.0,
BRYSON NESBIT,TE,0.0,0.0,0.5,0.0,1,0.0,,0.0,
BUF DST,DST,7.6,7.6,0.5,0.0,1,7.6,,,
Blake Grupe,K,7.8,7.8,0.5,0.0,1,7.8,,,
Brandon Aubrey,K,7.6,7.6,0.5,0.0,1,7.6,,,
Brandon McManus,K,0.0,0.0,0.5,0.0,1,0.0,,,
C.AKERS,WR,,,,,2,,16.0,15.0,84.0
C.AUSTIN,WR,,,,,2,,16.0,51.0,0.0
C.Akers,RB,97.1,97.1,0.5,0.0,1,97.1,,18.0,
C.Austin,WR,124.299995,124.299995,0.5,0.0,1,124.299995,,60.0,
C.BROOKS,WR,,,,,2,,16.0,10.0,24.0
C.BROWN,WR,,,,,2,,16.0,54.0,189.0
C.Blair,WR,2.7,2.7,0.5,0.0,1,2.7,,2.0,
C.Brooks,RB,45.1,45.1,0.5,0.0,1,45.1,,16.0,
C.Brown,RB,255.0,255.0,0.5,0.0,1,255.0,,65.0,
C.Collier,RB,1.8000001,1.8000001,0.5,0.0,1,1.8000001,,2.0,
C.Conley,WR,13.599999,13.599999,0.5,0.0,1,13.599999,,12.0,
C.Edwards-Helaire,RB,10.0,10.0,0.5,0.0,1,10.0,,5.0,
C.FORD,WR,,,0.5,0.0,1,,16.0,0.0,12.0
C.GODWIN,WR,,,,,2,,16.0,47.0,0.0
C.Godwin,WR,137.8,137.8,0.5,0.0,1,137.8,,62.0,
C.Grandy,TE,7.8,7.8,0.5,0.0,1,7.8,,5.0,
C.HUBBARD,WR,,,,,2,,16.0,48.0,190.0
C.Heyward,TE,16.0,16.0,0.5,0.0,1,16.0,,8.0,
C.Hubbard,RB,241.6,241.6,0.5,0.0,1,241.6,,54.0,
C.Johnson,WR,1.6,1.6,0.5,0.0,1,1.6,,2.0,
C.Jones,WR,7.5,7.5,0.5,0.0,1,7.5,,1.0,
C.KIRK,WR,,,,,2,,16.0,39.0,0.0
C.KMET,WR,,,,,2,,16.0,42.0,0.0
C.KUPP,WR,,,,,2,,16.0,92.0,1.0
C.Kirk,WR,70.9,70.9,0.5,0.0,1,70.9,,47.0,
C.Kmet,TE,120.4,120.4,0.5,0.0,1,120.4,,55.0,
C.Kolar,TE,28.3,28.3,0.5,0.0,1,28.3,,11.0,
C.Kupp,WR,190.0,190.0,0.5,0.0,1,190.0,,108.0,
C.LAMB,WR,,,,,2,,16.0,134.0,0.0
C.Lamb,WR,263.4,263.4,0.5,0.0,1,263.4,,152.0,
C.MCCAFFREY,WR,,,,,2,,16.0,12.0,43.0
C.Manhertz,TE,12.0,12.0,0.5,0.0,1,12.0,,4.0,
C.McCaffrey,RB,47.800003,47.800003,0.5,0.0,1,47.800003,,19.0,
C.OKONKWO,WR,,,,,2,,16.0,61.0,0.0
C.OLAVE,WR,,,,,2,,16.0,42.0,0.0
C.OTTON,WR,,,,,2,,16.0,71.0,0.0
C.Okonkwo,TE,113.6,113.6,0.5,0.0,1,113.6,,70.0,
C.Oladokun,QB,0.5,0.5,0.5,0.0,1,0.5,,0.0,
C.Olave,WR,76.700005,76.700005,0.5,0.0,1,76.700005,,44.0,
C.Otton,TE,145.8,145.8,0.5,0.0,1,145.8,,89.0,
C.PARKINSON,WR,,,,,2,,16.0,41.0,0.0
C.PATTERSON,TE,,,,,2,,16.0,9.0,25.0
C.Parkinson,TE,77.6,77.6,0.5,0.0,1,77.6,,53.0,
C.Patterson,RB,37.5,37.5,0.5,0.0,1,37.5,,14.0,
C.REYNOLDS,WR,,,,,2,,16.0,2.0,16.0
C.RIDLEY,WR,,,,,2,,16.0,96.0,6.0
C.RODRIGUEZ,WR,,,,,2,,16.0,0.0,22.0
C.Reynolds,RB,20.9,20.9,0.5,0.0,1,20.9,,5.0,
C.Ridley,WR,199.2,199.2,0.5,0.0,1,199.2,,120.0,
C.Rodriguez,RB,31.5,31.5,0.5,0.0,1,31.5,,1.0,
C.Rush,QB,109.56,109.56,0.5,0.0,1,109.56,,0.0,
C.SAMUEL,WR,,,,,2,,16.0,43.0,3.0
C.STEELE,TE,,,,,2,,16.0,8.0,40.0
C.STOVER,WR,,,,,2,,16.0,14.0,0.0
C.STROUD,WR,,,,,2,,16.0,1.0,43.0
C.SUTTON,WR,,,,,2,,16.0,115.0,0.0
C.Samuel,WR,89.799995,89.799995,0.5,0.0,1,89.799995,,54.0,
C.Schrader,RB,1.9,1.9,0.5,0.0,1,1.9,,1.0,
C.Steele,RB,23.9,23.9,0.5,0.0,1,23.9,,11.0,
C.Stover,TE,41.1,41.1,0.5,0.0,1,41.1,,26.0,
C.Stroud,QB,251.86,251.86,0.5,0.0,1,251.86,,1.0,
C.Sutton,WR,252.8,252.8,0.5,0.0,1,252.8,,144.0,
C.TILLMAN,WR,,,,,2,,16.0,33.0,0.0
C.Tillman,WR,80.4,80.4,0.5,0.0,1,80.4,,49.0,
C.WALLACE,WR,,,0.5,0.0,1,,16.0,0.0,14.0
C.WATSON,WR,,,,,2,,16.0,42.0,2.0
C.WILLIAMS,WR,,,,,2,,16.0,3.0,61.0
C.WILSON,WR,,,,,2,,16.0,26.0,0.0
C.Washington,WR,2.4,2.4,0.5,0.0,1,2.4,,2.0,
C.Watson,WR,105.299995,105.299995,0.5,0.0,1,105.299995,,53.0,
C.Wentz,QB,4.7200003,4.7200003,0.5,0.0,1,4.7200003,,0.0,
C.White,WR,6.4,6.4,0.5,0.0,1,6.4,,3.0,
C.Williams,QB,254.54,254.54,0.5,0.0,1,254.54,,0.0,
C.Wilson,WR,51.940002,51.940002,0.5,0.0,1,51.940002,,27.0,
C.Woerner,TE,11.6,11.6,0.5,0.0,1,11.6,,12.0,
C.ZAVALA,WR,,,,,2,,16.0,0.0,16.0
CADEN PRIESKORN,TE,0.0,0.0,0.5,0.0,1,0.0,,0.0,
CALEB LOHNER,TE,0.0,0.0,0.5,0.0,1,0.0,,0.0,
CAM SKATTEBO,RB,0.0,0.0,0.5,0.0,1,0.0,,0.0,
CAMERON WARD,QB,0.0,0.0,0.5,0.0,1,0.0,,0.0,
CAR DST,DST,4.9,4.9,0.5,0.0,1,4.9,,,
CHI DST,DST,7.8,7.8,0.5,0.0,1,7.8,,,
CHIMERE DIKE,WR,0.0,0.0,0.5,0.0,1,0.0,,0.0,
CIN DST,DST,7.8,7.8,0.5,0.0,1,7.8,,,
CJ DIPPRE,TE,0.0,0.0,0.5,0.0,1,0.0,,0.0,
CLE DST,DST,6.4,6.4,0.5,0.0,1,6.4,,,
COLSTON LOVELAND,TE,0.0,0.0,0.5,0.0,1,0.0,,0.0,
COREY KINER,RB,0.0,0.0,0.5,0.0,1,0.0,,0.0,
Cairo Santos,K,7.3,7.3,0.5,0.0,1,7.3,,,
Cam Little,K,6.6,6.6,0.5,0.0,1,6.6,,,
Cameron Dicker,K,7.9,7.9,0.5,0.0,1,7.9,,,
Chad Ryland,K,0.0,0.0,0.5,0.0,1,0.0,,,
Chase McLaughlin,K,8.6,8.6,0.5,0.0,1,8.6,,,
Chris Boswell,K,7.2,7.2,0.5,0.0,1,7.2,,,
D.ACHANE,WR,,,,,2,,16.0,74.0,177.0
D.ADAMS,WR,,,,,2,,16.0,117.0,0.0
D.Achane,RB,299.9,299.9,0.5,0.0,1,299.9,,87.0,
D.Adams,WR,241.3,241.3,0.5,0.0,1,241.3,,141.0,
D.Allen,TE,18.2,18.2,0.5,0.0,1,18.2,,15.0,
D.BELLINGER,WR,,,,,2,,16.0,13.0,0.0
D.BROWN,WR,,,,,2,,16.0,48.0,2.0
D.BRUNSKILL,WR,,,0.5,0.0,1,,16.0,0.0,13.0
D.Bell,WR,5.7,5.7,0.5,0.0,1,5.7,,3.0,
D.Bellinger,TE,26.5,26.5,0.5,0.0,1,26.5,,17.0,
D.Brown,WR,108.3,108.3,0.5,0.0,1,108.3,,58.0,
D.CARTER,TE,,,,,2,,16.0,12.0,0.0
D.Carr,QB,150.9,150.9,0.5,0.0,1,150.9,,0.0,
D.Carter,WR,16.199999,16.199999,0.5,0.0,1,16.199999,,14.0,
D.Chark,WR,15.1,15.1,0.5,0.0,1,15.1,,14.0,
D.Chisena,WR,6.7,6.7,0.5,0.0,1,6.7,,4.0,
D.Cook,RB,4.0,4.0,0.5,0.0,1,4.0,,1.0,
D.Culp,TE,13.799999,13.799999,0.5,0.0,1,13.799999,,6.0,
D.DAVIS,WR,,,,,2,,16.0,17.0,8.0
D.DOUGLAS,WR,,,,,2,,16.0,80.0,2.0
D.DUVERNAY,WR,,,,,2,,16.0,12.0,3.0
D.Dallas,RB,21.0,21.0,0.5,0.0,1,21.0,,3.0,
D.Davis,WR,41.2,41.2,0.5,0.0,1,41.2,,18.0,
D.Douglas,WR,147.7,147.7,0.5,0.0,1,147.7,,87.0,
D.Duvernay,WR,19.2,19.2,0.5,0.0,1,19.2,,16.0,
D.Eskridge,WR,7.4,7.4,0.5,0.0,1,7.4,,3.0,
