name,position,recency_weighted_fantasy_points,recency_weighted_targets,recency_weighted_carries,recency_weighted_rec_yards,recency_weighted_rush_yards,recent_trend_pct,momentum_score_2024vs2023,consistency_score,historical_seasons,total_data_weight,projected_points,fantasy_points_ppr,adp_rank,recency_score
Rome Odunze,WR,75.9,,,,,0,0,0.1,1,4.0,195.2,0,81.0,47.04
Brian Robinson Jr.,RB,112.8,,,,,0,0,0.1,1,4.0,214.4,0,82.0,69.17999999999999
Evan Engram,TE,63.8,,,,,0,0,0.1,1,4.0,113.6,0,83.0,39.779999999999994
Deebo Samuel Sr.,WR,49.7,,,,,0,0,0.1,1,4.0,192.8,0,84.0,31.32
David Njoku,TE,17.8,,,,,0,0,0.1,1,4.0,112.0,0,85.0,12.18
Tyrone Tracy Jr.,RB,65.0,,,,,0,0,0.1,1,4.0,211.2,0,86.0,40.5
Cooper Kupp,WR,190.0,113.0,2.0,710.0,28.0,0,0,0.1,1,4.0,190.4,0,87.0,115.5
Kyler Murray,QB,152.3,,,,,0,0,0.1,1,4.0,279.6,0,88.0,92.88000000000001
Stefon Diggs,WR,35.8,,,,,0,0,0.1,1,4.0,188.8,0,89.0,22.979999999999997
Khalil Shakir,WR,49.6,,,,,0,0,0.1,1,4.0,188.0,0,90.0,31.259999999999998
Cam Skattebo,RB,36.75,,,,,0,0,0.1,2,8.0,207.2,0,91.0,23.55
Jaylen Warren,RB,140.5,,,,,0,0,0.1,1,4.0,206.4,0,92.0,85.8
Jauan Jennings,WR,62.2,,,,,0,0,0.1,1,4.0,185.6,0,93.0,38.82
Jakobi Meyers,WR,25.4,,,,,0,0,0.1,1,4.0,184.8,0,94.0,16.74
Travis Etienne Jr.,RB,100.5,,,,,0,0,0.1,1,4.0,204.0,0,95.0,61.8
Matthew Golden,WR,19.8,,,,,0,0,0.1,2,8.0,183.2,0,96.0,13.38
Javonte Williams,RB,120.3,,,,,0,0,0.1,1,4.0,202.4,0,97.0,73.67999999999999
Ricky Pearsall,WR,73.2,,,,,0,0,0.1,1,4.0,181.6,0,98.0,45.42
Justin Fields,QB,86.3,,,,,0,0,0.1,1,4.0,270.8,0,99.0,53.279999999999994
Jayden Reed,WR,64.0,,,,,0,0,0.1,1,4.0,180.0,0,100.0,39.9
