player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
00-0028118,2022,REG,6,8,58.0,1,1.0,3.0,18.0,1,1,99.0,26.0,3.0,-4.385336910490878,1,1.8935185185185186,0.2416565112471205,5,70.0,0,1.0,0.0,5.0,9.137094320147298,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,11.319999999999999,11.319999999999999,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07535614432166156
00-0028292,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,3.0,0,0.0,0.0,0.0,0.05243714904645458,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.30000000000000004,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004025764895330112
00-0028986,2022,REG,2,7,8.0,0,0.0,0.0,0.0,0,0,57.0,5.0,0.0,-5.786273917416111,0,0.25,-0.11744811192781658,5,0.0,0,0.0,0.0,0.0,-5.391547637234908,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012453300124533
00-0029000,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,6,7,35.0,0,0.0,0.0,26.0,14.0,1.0,0.32574742403812706,0,3.6,0.18554655870445344,0.0951919410079635,0.3449541967622546,0.0,3.5,9.5,4,0.04375,0.02021772939346812,0.029914529914529916,0.08179918351477448,0.030918727915194347,0.0,0.015873015873015872,0.0136986301369863,0.015459363957597174,0.02473498233215548,0.21875,0.02216622334219982
00-0029239,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,17,66.0,0,0.0,0.0,3.0,-6.284645778941922,0,9,9,57.0,1,0.0,0.0,30.0,27.0,2.0,1.0231501434346804,0,8.882051282051282,0.27739481641920666,0.09195908326861017,0.4804635829168371,0.0,18.3,27.3,8,0.03180212014134275,0.011282437006393382,0.031141868512110725,0.05672912981712883,0.026685393258426966,0.07142857142857142,0.021505376344086023,0.028037383177570093,0.04905698234349919,0.03563402889245586,0.20141342756183744,0.03861167684996606
00-0029263,2022,REG,292,483,3524.0,16,11.0,55.0,368.0,4,2,4264.0,1720.0,142.0,-55.99700972790031,0,13.181928406144483,0.9342129219847752,55,277.0,3,2.0,0.0,21.0,15.226056107818474,0,1,1,1.0,0,0.0,0.0,-1.0,2.0,0.0,-0.38463787781074643,0,0.0,0.04,-0.0035211267605633804,0.057535211267605635,0.0,224.76000000000002,225.76000000000002,15,0.002004008016032064,-0.00022747952684258417,0.0011402508551881414,0.0028240284025740285,0.0002789400278940028,0.0,0.0,0.0,0.0001394700139470014,0.00022315202231520224,0.002004008016032064,0.19595521222116136
00-0029293,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,46,81,529.0,3,0.0,0.0,1071.0,95.0,29.0,11.479467955404148,0,8.660894724278949,2.341933262686937,4.248675534454453,6.486972768148522,0.0,70.9,116.9,16,0.14111498257839722,0.2511137162954279,0.049273858921161824,0.41256344690393815,0.13281446146121015,0.125,0.145,0.14285714285714285,0.12890723073060506,0.13125156916896813,0.921602787456446,0.08297135394486557
00-0029567,2022,REG,25,42,225.0,0,4.0,8.0,48.0,0,0,343.0,91.0,9.0,-34.17122693501303,0,1.4025925925925926,-0.012195299957501578,2,8.0,0,0.0,0.0,0.0,-4.255645770346746,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.7999999999999998,1.7999999999999998,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018848167539267015
00-0029604,2022,REG,424,643,4547.0,29,14.0,46.0,329.0,5,3,4821.0,1967.0,230.0,18.464406551715793,3,16.98790585975999,1.8198971116843659,31,97.0,2,2.0,0.0,11.0,1.2276068408497767,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,291.58,291.58,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17474320096846493
00-0029608,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,7,10,121.0,0,0.0,0.0,175.0,33.0,5.0,10.084503951016814,0,2.2012882447665056,0.2616337591947348,0.5530711533550334,0.7796004461406256,0.0,12.1,19.1,3,0.08771929824561403,0.18210197710718,0.103125,0.2772605290541651,0.15984147952443858,0.0,0.125,0.10869565217391304,0.07992073976221929,0.12787318361955088,1.0614035087719298,0.07218988585682969
