player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,data_year
00-0028118,2022,REG,6,8,58.0,1,1.0,3.0,18.0,1,1,99.0,26.0,3.0,-4.385336910490878,1,1.8935185185185184,0.2416565112471205,5,70.0,0,1.0,0.0,5.0,9.137094320147298,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,11.32,11.32,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0753561443216615,2022
00-0028292,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,3.0,0,0.0,0.0,0.0,0.0524371490464545,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040257648953301,2022
00-0028986,2022,REG,2,7,8.0,0,0.0,0.0,0.0,0,0,57.0,5.0,0.0,-5.786273917416111,0,0.25,-0.1174481119278165,5,0.0,0,0.0,0.0,0.0,-5.391547637234908,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012453300124533,2022
00-0029000,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,6,7,35.0,0,0.0,0.0,26.0,14.0,1.0,0.325747424038127,0,3.6,0.1855465587044534,0.0951919410079635,0.3449541967622546,0.0,3.5,9.5,4,0.04375,0.0202177293934681,0.0299145299145299,0.0817991835147744,0.0309187279151943,0.0,0.0158730158730158,0.0136986301369863,0.0154593639575971,0.0247349823321554,0.21875,0.0221662233421998,2022
00-0029239,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,17,66.0,0,0.0,0.0,3.0,-6.284645778941922,0,9,9,57.0,1,0.0,0.0,30.0,27.0,2.0,1.0231501434346804,0,8.882051282051282,0.2773948164192066,0.0919590832686101,0.4804635829168371,0.0,18.3,27.3,8,0.0318021201413427,0.0112824370063933,0.0311418685121107,0.0567291298171288,0.0266853932584269,0.0714285714285714,0.021505376344086,0.02803738317757,0.0490569823434991,0.0356340288924558,0.2014134275618374,0.038611676849966,2022
00-0029263,2022,REG,292,483,3524.0,16,11.0,55.0,368.0,4,2,4264.0,1720.0,142.0,-55.99700972790031,0,13.181928406144484,0.9342129219847752,55,277.0,3,2.0,0.0,21.0,15.226056107818474,0,1,1,1.0,0,0.0,0.0,-1.0,2.0,0.0,-0.3846378778107464,0,0.0,0.04,-0.0035211267605633,0.0575352112676056,0.0,224.76,225.76,15,0.002004008016032,-0.0002274795268425,0.0011402508551881,0.002824028402574,0.000278940027894,0.0,0.0,0.0,0.000139470013947,0.0002231520223152,0.002004008016032,0.1959552122211613,2022
00-0029293,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,46,81,529.0,3,0.0,0.0,1071.0,95.0,29.0,11.479467955404148,0,8.660894724278949,2.341933262686937,4.248675534454453,6.486972768148522,0.0,70.9,116.9,16,0.1411149825783972,0.2511137162954279,0.0492738589211618,0.4125634469039381,0.1328144614612101,0.125,0.145,0.1428571428571428,0.128907230730605,0.1312515691689681,0.921602787456446,0.0829713539448655,2022
00-0029567,2022,REG,25,42,225.0,0,4.0,8.0,48.0,0,0,343.0,91.0,9.0,-34.17122693501303,0,1.4025925925925926,-0.0121952999575015,2,8.0,0,0.0,0.0,0.0,-4.255645770346746,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.7999999999999998,1.7999999999999998,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018848167539267,2022
00-0029604,2022,REG,424,643,4547.0,29,14.0,46.0,329.0,5,3,4821.0,1967.0,230.0,18.464406551715797,3,16.98790585975999,1.8198971116843656,31,97.0,2,2.0,0.0,11.0,1.227606840849777,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,291.58,291.58,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1747432009684649,2022
00-0029608,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,7,10,121.0,0,0.0,0.0,175.0,33.0,5.0,10.084503951016814,0,2.2012882447665056,0.2616337591947348,0.5530711533550334,0.7796004461406256,0.0,12.1,19.1,3,0.087719298245614,0.18210197710718,0.103125,0.2772605290541651,0.1598414795244385,0.0,0.125,0.108695652173913,0.0799207397622192,0.1278731836195508,1.0614035087719298,0.0721898858568296,2022
