player_id,player_name,position,season,week,recent_team,hist_games_played,hist_avg_passing_yards,hist_avg_passing_tds,hist_avg_interceptions,hist_avg_rushing_yards,hist_avg_rushing_tds,hist_avg_receiving_yards,hist_avg_receiving_tds,hist_avg_receptions,hist_avg_targets,hist_avg_carries,hist_std_fantasy_points,hist_max_fantasy_points,hist_min_fantasy_points,recent_avg_fantasy_points,recent_vs_season_trend,recent5_avg_fantasy_points,recent5_std_fantasy_points,weighted_avg_fantasy_points,eff_yards_per_target,eff_yards_per_carry,rate_receiving_td,rate_rushing_td,rate_pass_td_to_int,target_fantasy_points
00-0036422,A.Trautman,TE,2024,13,DEN,27,0.0,0.0,0.0,0.0,0.0,15.851851851851851,0.14814814814814814,1.4444444444444444,2.0,0.0,4.481074479410991,18.5,0.0,3.9333333333333336,0.014814814814815058,4.26,2.4905822612393274,3.7857142857142856,7.925925925925926,0.0,0.10256410256410256,0.0,1.0,0.0
00-0036422,A.Trautman,TE,2023,13,DEN,28,0.0,0.0,0.0,0.0,0.0,15.285714285714286,0.14285714285714285,1.3928571428571428,1.9642857142857142,0.0,4.459227398856106,18.5,0.0,3.033333333333333,-0.7452380952380953,3.2,3.0108138434649194,3.5885416666666665,7.781818181818182,0.0,0.10256410256410256,0.0,1.0,1.6
00-0036422,A.Trautman,TE,2022,13,NO,29,0.0,0.0,0.0,0.0,0.0,14.96551724137931,0.13793103448275862,1.3793103448275863,1.9655172413793103,0.0,4.3975222535472565,18.5,0.0,0.9666666666666668,-2.736781609195402,2.68,3.0194370336206715,3.528282828282828,7.614035087719298,0.0,0.1,0.0,1.0,4.800000000000001
00-0036422,A.Trautman,TE,2023,14,DEN,30,0.0,0.0,0.0,0.0,0.0,15.4,0.13333333333333333,1.4,2.0,0.0,4.325673158695889,18.5,0.0,2.1333333333333333,-1.6066666666666665,3.1,3.1654383582688825,3.553465346534653,7.7,0.0,0.09523809523809523,0.0,1.0,9.9
00-0036422,A.Trautman,TE,2023,15,DEN,31,0.0,0.0,0.0,0.0,0.0,15.516129032258064,0.16129032258064516,1.4193548387096775,2.032258064516129,0.0,4.394517601083941,18.5,0.0,5.433333333333334,1.494623655913979,3.5200000000000005,3.9795728413989364,3.736538461538461,7.634920634920635,0.0,0.11363636363636363,0.0,1.0,3.4000000000000004
00-0036422,A.Trautman,TE,2024,15,DEN,32,0.0,0.0,0.0,0.0,0.0,15.78125,0.15625,1.40625,2.0625,0.0,4.3241060515627145,18.5,0.0,6.033333333333334,2.111458333333334,3.9400000000000004,3.793151723830725,3.727102803738317,7.651515151515151,0.0,0.1111111111111111,0.0,1.0,10.0
00-0036422,A.Trautman,TE,2022,15,NO,33,0.0,0.0,0.0,0.0,0.0,15.909090909090908,0.18181818181818182,1.4242424242424243,2.0606060606060606,0.0,4.385554368744289,18.5,0.0,7.766666666666667,3.66060606060606,5.94,3.8324926614411146,4.007142857142856,7.720588235294118,0.0,0.1276595744680851,0.0,1.0,0.0
00-0036422,A.Trautman,TE,2023,16,DEN,34,0.0,0.0,0.0,0.0,0.0,15.441176470588236,0.17647058823529413,1.3823529411764706,2.0294117647058822,0.0,4.375630334016386,18.5,0.0,4.466666666666667,0.4813725490196079,5.62,4.321110968258047,3.9368421052631573,7.608695652173913,0.0,0.1276595744680851,0.0,1.0,0.0
00-0036422,A.Trautman,TE,2024,16,DEN,35,0.0,0.0,0.0,0.0,0.0,15.0,0.17142857142857143,1.3428571428571427,2.0,0.0,4.363118921447028,18.5,0.0,3.3333333333333335,-0.538095238095238,4.66,5.024738799181505,3.8358974358974356,7.5,0.0,0.1276595744680851,0.0,1.0,1.5
00-0036422,A.Trautman,TE,2024,17,DEN,36,0.0,0.0,0.0,0.0,0.0,14.722222222222221,0.16666666666666666,1.3333333333333333,1.9722222222222223,0.0,4.31846166025717,18.5,0.0,0.5,-3.3055555555555554,2.98,4.165573189850347,3.740163934426229,7.464788732394366,0.0,0.125,0.0,1.0,1.5
00-0036422,A.Trautman,TE,2023,17,DEN,37,0.0,0.0,0.0,0.0,0.0,14.45945945945946,0.16216216216216217,1.3243243243243243,2.0,0.0,4.274897044929239,18.5,0.0,1.0,-2.7432432432432434,2.6,4.204164601915581,3.651968503937008,7.22972972972973,0.0,0.12244897959183673,0.0,1.0,1.9
00-0036422,A.Trautman,TE,2022,17,NO,38,0.0,0.0,0.0,0.0,0.0,14.31578947368421,0.15789473684210525,1.3157894736842106,2.0,0.0,4.227320879797054,18.5,0.0,1.6333333333333335,-2.06140350877193,0.9800000000000001,0.9093954035511725,3.611538461538461,7.157894736842105,0.0,0.12,0.0,1.0,2.6
00-0036422,A.Trautman,TE,2022,18,NO,39,0.0,0.0,0.0,0.0,0.0,14.35897435897436,0.15384615384615385,1.3076923076923077,1.9743589743589745,0.0,4.175009192131912,18.5,0.0,2.0,-1.6666666666666665,1.5,0.9513148795220224,3.596212121212121,7.2727272727272725,0.0,0.11764705882352941,0.0,1.0,2.8
00-0036422,A.Trautman,TE,2023,18,DEN,40,0.0,0.0,0.0,0.0,0.0,14.45,0.15,1.3,1.95,0.0,4.1234134478049205,18.5,0.0,2.433333333333333,-1.2116666666666673,2.06,0.6107372593840987,3.5843283582089547,7.410256410256411,0.0,0.11538461538461539,0.0,1.0,3.1
00-0036422,A.Trautman,TE,2024,19,DEN,41,0.0,0.0,0.0,0.0,0.0,14.609756097560975,0.14634146341463414,1.2926829268292683,1.9268292682926829,0.0,4.072434101639352,18.5,0.0,2.8333333333333335,-0.7983739837398374,2.38,0.6610597552415365,3.5737226277372254,7.582278481012659,0.0,0.11320754716981132,0.0,1.0,1.2
00-0036423,A.Okwuegbunam,TE,2023,13,PHI,4,0.0,0.0,0.0,0.0,0.0,12.5,0.0,1.75,2.75,0.0,3.65057073163453,8.3,0.0,1.2333333333333334,-1.7666666666666666,3.0,3.65057073163453,3.0,4.545454545454546,0.0,0.0,0.0,1.0,0.0
00-0036423,A.Okwuegbunam,TE,2022,17,DEN,5,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.4,2.4,0.0,3.4343849522148795,8.3,0.0,1.2333333333333334,-1.1666666666666665,2.4,3.4343849522148795,2.1176470588235294,4.166666666666667,0.0,0.0,0.0,1.0,13.5
00-0036423,A.Okwuegbunam,TE,2022,18,DEN,6,0.0,0.0,0.0,0.0,0.0,15.833333333333334,0.16666666666666666,1.6666666666666667,3.0,0.0,5.474577609277268,13.5,0.0,5.0,0.75,3.44,5.704647228356895,3.8249999999999993,5.277777777777778,0.0,0.1,0.0,1.0,0.0
00-0036424,B.Hopkins,TE,2022,10,LA,4,0.0,0.0,0.0,0.0,0.0,7.75,0.0,0.75,1.25,0.0,1.2658988901172163,3.1,0.0,1.0,-0.5249999999999999,1.525,1.2658988901172163,1.6944444444444442,6.2,0.0,0.0,0.0,1.0,2.1
00-0036424,B.Hopkins,TE,2022,12,LA,5,0.0,0.0,0.0,0.0,0.0,8.4,0.0,0.8,1.4,0.0,1.1260550608207398,3.1,0.0,1.2,-0.43999999999999995,1.64,1.1260550608207398,1.7523809523809522,6.0,0.0,0.0,0.0,1.0,2.2
00-0036424,B.Hopkins,TE,2022,14,LA,6,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.8333333333333334,1.5,0.0,1.0327955589886446,3.1,0.0,1.4333333333333336,-0.2999999999999996,1.46,0.8792041856133307,1.8083333333333333,6.0,0.0,0.0,0.0,1.0,1.8
