"RK","PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"39","Trevor Etienne",CAR,"RB14","21","33","58","41.2","6.5","+11"
"40","Shedeur Sanders",CLE,"QB5","23","33","59","41.4","7.7","0"
"41","Tahj Brooks",CIN,"RB15","23","33","51","42.1","4.8","-2"
"42","Jordan James",SF,"RB16","21","30","56","43.3","7.1","0"
"43","Woody Marks",HOU,"RB17","24","35","50","43.7","4.8","-10"
"44","Brashard Smith",KC,"RB18","22","36","60","44.9","6.3","-12"
"45","Savion Williams",GB,"WR16","23","35","70","45.9","10.8","+6"
"46","Kyle Monangai",CHI,"RB19","23","34","61","47.4","6.3","-2"
"47","Tai Felton",MIN,"WR17","22","36","70","47.5","9.4","+2"
"48","Oronde Gadsden II",LAC,"TE7","22","33","57","48.9","7.0","-1"
"49","Ollie Gordon II",MIA,"RB20","21","41","61","49.1","5.6","-3"
"50","Will Howard",PIT,"QB6","23","26","64","49.8","10.2","+10"
"51","Dont'e Thornton Jr.",LV,"WR18","22","36","74","52.9","11.3","-17"
"52","Damien Martinez",SEA,"RB21","21","35","60","47.4","6.5","+4"
"53","Dillon Gabriel",CLE,"QB7","24","43","66","55.2","8.0","-1"
"54","Jacory Croskey-Merritt",WAS,"RB22","24","38","72","55.7","10.2","-11"
"55","Gunnar Helm",TEN,"TE8","22","45","73","56.5","7.3","+8"
"56","Jaylin Lane",WAS,"WR19","23","35","73","57.1","12.1","-3"
"57","Xavier Restrepo",TEN,"WR20","23","41","84","57.7","10.9","-2"
"58","Tez Johnson",TB,"WR21","23","48","76","60.7","7.8","+10"
"59","Ricky White III",SEA,"WR22","23","51","77","61.2","8.9","+17"
"60","Kyle McCord",PHI,"QB8","22","46","71","61.8","7.7","+25"
"61","Chimere Dike",TEN,"WR23","23","46","78","59.7","9.2","0"
"62","Riley Leonard",IND,"QB9","22","52","82","64.2","8.7","+13"
"63","LeQuint Allen Jr.",JAC,"RB23","21","43","73","60.9","7.9","-1"
